id_perkara;jenis_perkara;tingkat;usia_tersangka;jenis_kelamin;domisili;pendidikan;jumlah_bb;nilai_kerugian;pasal_utama;residivis;tgl_mulai;tgl_selesai;lama_proses_hari;status_akhir
PIDUM-100000;Penipuan;Prapenuntutan;26.0;L;Jatim;D3;4;151056;KUHP_303;Tidak;2/26/2024;7/12/2024;137;Tahap II
PIDUM-100001;Penipuan;Penuntutan;30.0;L;Jabar;SMA;0;229486;KUHP_378;Tidak;12/27/2024;3/9/2025;72;P21
PIDUM-100002;Narkotika;Prapenuntutan;50.0;L;DKI;D3;3;38702;KUHP_303;Ya;6/7/2024;7/29/2024;52;P21
PIDUM-100003;KDRT;prapenuntutan;nan;L;Sumut;SMP;2;282131;KUHP_362;Tidak;4/19/2024;9/16/2024;150;P21
PIDUM-100004;Pencurian;Penuntutan;15.0;L;Banten;SMA;1;73108;UU_23_2004_44;Tidak;1/21/2024;2/7/2024;17;Tahap II
PIDUM-100005;Pencurian;Prapenuntutan;38.0;L;Jateng;SMP;1;159862;KUHP_351;Tidak;1/21/2024;1/26/2024;5;P21
PIDUM-100006;Penipuan;Penuntutan;24.0;L;Jateng;SMP;2;157090;KUHP_362;Tidak;1/8/2024;4/9/2024;92;SP3
PIDUM-100007;Perjudian;PRAPENUNTUTAN;590.0;L;Sumut;SD;1;96079;KUHP_303;Tidak;8/29/2024;10/22/2024;54;SP3
pidum-100008;Pencurian;Prapenuntutan;23.0;L;Sulsel;SMP;1;58474;UU_23_2004_44;Tidak;4/20/2024;5/24/2024;34;P21
PIDUM-100009;PENGANIAYAAN;Prapenuntutan;28.0;L;Jabar;SMP;2;122309;KUHP_378;Tidak;5/27/2024;9/7/2024;103;P21
PIDUM-100010;Pencurian;Penuntutan;45.0;L;DKI;SD;1;826810;KUHP_351;Ya;1/3/2024;3/27/2024;84;P21
PIDUM-100011;Penganiayaan;PRAPENUNTUTAN;38.0;L;Jabar;S1;4;41702;KUHP_351;Tidak;2/24/2025;4/17/2025;2020;P21
PIDUM-100012;Penipuan;Prapenuntutan;38.0;L;Sumut;SMP;1;884089;UU_35_2009_112;Ya;8/2/2024;8/25/2024;23;Tahap II
PIDUM-100013;;Prapenuntutan;18.0;L;Sumut;SMP;1;125527;UU_23_2004_44;Tidak;1/29/2024;5/17/2024;109;P21
PIDUM-100014;Penganiayaan;Prapenuntutan;20.0;L;Jabar;SMP;3;168614;KUHP_362;Tidak;1/25/2024;5/5/2024;101;P21
PIDUM-100015;Penganiayaan;Penuntutan;15.0;L;DIY;SMA;3;54901;KUHP_303;Tidak;1/25/2024;4/5/2024;71;Tahap II
PIDUM-100016;Pencurian;Penuntutan;23.0;L;Banten;SD;1;75261;KUHP_351;Tidak;2/13/2024;7/10/2024;148;SP3
PIDUM-100017;  Penganiayaan  ;Prapenuntutan;39.0;L;Jateng;S1;2;98428;KUHP_303;Tidak;3/30/2024;5/1/2024;32;P21
PIDUM-100018;Penipuan;Penuntutan;35.0;L;DIY;S1;3;57199;UU_23_2004_44;Tidak;3/8/2024;3/21/2024;13;Tahap II
PIDUM-100019;;Prapenuntutan;29.0;L;Jatim;SMP;2;132069;UU_35_2009_112;Ya;2/11/2024;3/29/2024;47;RJ
PIDUM-100020;Perjudian;Penuntutan;30.0;P;Jateng;SMA;3;108335;KUHP_351;Tidak;4/23/2024;7/5/2024;73;RJ
  PIDUM-100021  ;Pencurian;Penuntutan;24.0;L;Jateng;SD;3;1035899;KUHP_303;Tidak;1/19/2024;4/12/2024;84;P21
PIDUM-100022;Perjudian;Penuntutan;32.0;L;Banten;SMA;3;50717;UU_35_2009_112;Tidak;2/11/2024;4/16/2024;65;SP3
PIDUM-100023;Penipuan;Prapenuntutan;nan;L;Jatim;SMA;2;180356;KUHP_378;Tidak;2/24/2024;5/23/2024;89;Tahap II
PIDUM-100024;Penipuan;Penuntutan;16.0;L;DKI;SMP;5;208531;KUHP_378;Tidak;3/14/2024;4/7/2024;24;P21
pidum-100025;Narkotika;Prapenuntutan;33.0;L;Jatim;SMP;3;55808;KUHP_362;Tidak;7/3/2024;11/12/2024;132;Tahap II
PIDUM-100026;Penganiayaan;Penuntutan;nan;L;DKI;SMA;4;323458;KUHP_303;Tidak;1/27/2024;4/7/2024;71;RJ
PIDUM-100027;Penganiayaan;Penuntutan;27.0;P;Sulsel;SMA;1;109280;KUHP_362;Tidak;3/27/2024;7/24/2024;119;RJ
PIDUM-100028;Pencurian;PENUNTUTAN;37.0;L;Sulsel;SMP;0;13461;UU_23_2004_44;Tidak;4/17/2024;7/14/2024;88;P21
PIDUM-100029;Penganiayaan;Penuntutan;56.0;L;Jatim;SMA;3;314849;KUHP_351;Tidak;1/6/2024;4/8/2024;93;P21
PIDUM-100030;Penganiayaan;Penuntutan;590.0;P;Jabar;SMA;2;53266;KUHP_378;Tidak;4/22/2024;7/28/2024;97;RJ
PIDUM-100031;Narkotika;Prapenuntutan;34.0;P;Sumut;S1;2;57080;KUHP_351;Tidak;1/23/2024;4/24/2024;2020;SP3
PIDUM-100032;Penipuan;Penuntutan;24.0;L;Jatim;SD;1;323806;KUHP_351;Tidak;1/9/2024;4/18/2024;100;P21
PIDUM-100033;Narkotika;Prapenuntutan;32.0;P;DIY;D3;5;115017;KUHP_351;Tidak;12/22/2024;4/29/2025;128;Tahap II
  PIDUM-100034  ;Pencurian;Penuntutan;35.0;L;DIY;SMA;3;407490;KUHP_303;Tidak;2/8/2025;5/1/2025;82;P21
PIDUM-100035;KDRT;Prapenuntutan;32.0;P;Banten;SD;1;545886;UU_35_2009_112;Tidak;7/17/2024;10/28/2024;103;P21
PIDUM-100036;KDRT;Prapenuntutan;21.0;L;Sumut;SMA;6;85397;UU_23_2004_44;Tidak;2/13/2024;4/24/2024;71;Tahap II
PIDUM-100037;penipuan;Prapenuntutan;32.0;L;Sumut;SMA;2;359785;KUHP_351;Ya;1/13/2024;5/24/2024;132;Tahap II
PIDUM-100038;KDRT;PRAPENUNTUTAN;44.0;L;DKI;S1;0;76461;KUHP_378;Tidak;5/18/2024;7/4/2024;47;RJ
PIDUM-100039;;Prapenuntutan;35.0;L;Jateng;SMP;5;1518321;KUHP_303;Tidak;3/10/2024;8/4/2024;147;P21
PIDUM-100040;KDRT;Prapenuntutan;nan;L;Banten;SMA;0;81392;KUHP_362;Tidak;1/16/2024;3/29/2024;73;P21
PIDUM-100041;Pencurian;Prapenuntutan;28.0;L;DIY;SMA;2;454106;UU_35_2009_112;Tidak;3/23/2024;4/9/2024;17;P21
PIDUM-100042;Penganiayaan;Penuntutan;37.0;L;DIY;S1;3;378431;UU_35_2009_112;Ya;1/5/2024;3/25/2024;80;Tahap II
PIDUM-100043;Penganiayaan;Penuntutan;33.0;L;Sulsel;SMP;2;47695770;KUHP_351;Tidak;10/15/2024;12/1/2024;47;P21
PIDUM-100044;Pencurian;Prapenuntutan;22.0;L;DKI;S1;2;83237;KUHP_351;Tidak;2/5/2024;5/23/2024;108;SP3
pidum-100045;Pencurian;Prapenuntutan;33.0;L;DIY;S1;7;139888;KUHP_378;Tidak;5/10/2024;6/27/2024;48;Tahap II
PIDUM-100046;Narkotika;Prapenuntutan;22.0;L;DIY;SMP;2;18890;KUHP_362;Tidak;2/14/2024;4/11/2024;57;P21
PIDUM-100047;Penipuan;Prapenuntutan;25.0;L;DKI;D3;5;203703;KUHP_378;Tidak;3/29/2024;4/3/2024;5;Tahap II
PIDUM-100048;  Narkotika  ;Penuntutan;32.0;P;DIY;S1;3;230871;UU_23_2004_44;Tidak;4/4/2024;5/30/2024;56;P21
PIDUM-100049;Pencurian;Penuntutan;33.0;L;Jateng;SMP;3;185999;UU_35_2009_112;Tidak;1/25/2024;1/30/2024;5;P21
PIDUM-100050;Perjudian;Prapenuntutan;20.0;L;Jabar;SMA;2;8322;KUHP_378;Tidak;2/23/2025;3/6/2025;11;Tahap II
PIDUM-100051;Narkotika;Prapenuntutan;40.0;L;Banten;SMA;2;45906;KUHP_362;Tidak;6/28/2024;10/11/2024;105;P21
PIDUM-100052;Penganiayaan;Prapenuntutan;36.0;L;Jateng;SMP;2;77026;UU_23_2004_44;Tidak;12/2/2024;3/18/2025;106;Tahap II
PIDUM-100053;Penipuan;Penuntutan;24.0;L;Jateng;SD;5;217871;KUHP_351;Tidak;9/27/2024;12/28/2024;92;SP3
PIDUM-100054;  Penganiayaan  ;Penuntutan;17.0;L;Jabar;SMP;2;217366;KUHP_378;Ya;4/19/2024;5/25/2024;36;P21
PIDUM-100055;Penganiayaan;Prapenuntutan;nan;L;Sulsel;SMP;5;137279;UU_23_2004_44;Tidak;11/1/2024;1/13/2025;73;Tahap II
PIDUM-100056;KDRT;Prapenuntutan;26.0;L;Sumut;SMA;5;307197;KUHP_378;Tidak;1/12/2024;3/26/2024;74;P21
PIDUM-100057;Penganiayaan;Penuntutan;32.0;L;Banten;SMP;2;58323;KUHP_378;Ya;1/27/2024;2/24/2024;28;P21
PIDUM-100058;Narkotika;Penuntutan;27.0;L;Sulsel;S1;3;299609;UU_35_2009_112;Tidak;1/6/2024;5/20/2024;135;P21
PIDUM-100059;Perjudian;Prapenuntutan;15.0;P;Sulsel;SMA;4;261644;KUHP_362;Tidak;2/17/2024;6/6/2024;110;Tahap II
PIDUM-100060;Penipuan;Prapenuntutan;27.0;L;Jateng;SD;3;237412;KUHP_303;Tidak;2/29/2024;5/5/2024;66;P21
PIDUM-100061;Pencurian;prapenuntutan;28.0;L;DIY;SMA;2;135667;KUHP_362;Ya;2/7/2024;4/23/2024;76;P21
PIDUM-100062;Pencurian;Penuntutan;36.0;L;Sulsel;SMA;6;1015349;KUHP_378;Tidak;7/30/2024;10/21/2024;83;P21
PIDUM-100063;Pencurian;Prapenuntutan;24.0;L;Jabar;S1;1;266517;KUHP_362;Tidak;2/22/2024;2/27/2024;5;SP3
PIDUM-100064;  Narkotika  ;Prapenuntutan;46.0;L;Sumut;SD;3;61800;UU_23_2004_44;Tidak;2/9/2024;4/14/2024;65;P21
PIDUM-100065;Narkotika;Penuntutan;15.0;L;Banten;SMP;3;208627;KUHP_362;Tidak;4/3/2024;5/20/2024;47;P21
PIDUM-100066;Pencurian;Prapenuntutan;nan;P;Jatim;S1;3;345408;UU_35_2009_112;Tidak;1/19/2024;2/22/2024;34;SP3
PIDUM-100067;KDRT;Penuntutan;28.0;L;DKI;S1;2;90390;KUHP_378;Tidak;7/13/2024;9/14/2024;63;P21
PIDUM-100068;NARKOTIKA;Prapenuntutan;38.0;L;DIY;SMA;5;483725;UU_35_2009_112;Tidak;1/10/2024;6/4/2024;146;P21
PIDUM-100069;Penganiayaan;Prapenuntutan;31.0;L;Jabar;D3;2;238478;KUHP_351;Tidak;6/4/2025;9/12/2025;2020;SP3
